filename,document_type,word_count,text_blocks,average_confidence,average_word_width,average_word_height,text_density,top_count,middle_count,bottom_count,left_count,center_count,right_count,top_ratio,middle_ratio,bottom_ratio,left_ratio,center_ratio,right_ratio,mrz,photo
CIN.jpg,cin,17,17,0.1588462605172617,358.4558414308828,89.98705755967919,0.1710266336906348,6,7,4,3,5,9,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.5294117647058824,0,1
CIN_1.png,cin,32,32,0.45377834242786963,227.77378475817267,62.299186195800345,0.1120961755619528,5,16,11,4,15,13,0.15625,0.5,0.34375,0.125,0.46875,0.40625,0,1
CIN_2.png,cin,12,12,0.3048425664458608,59.25,13.416666666666666,0.06170392725052425,2,8,2,3,5,4,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.3333333333333333,0,1
permis.jpg,permis,35,35,0.5046027563150256,110.3679517624725,28.038843856178055,0.20425042809466107,12,9,14,2,20,13,0.34285714285714286,0.2571428571428571,0.4,0.05714285714285714,0.5714285714285714,0.37142857142857144,0,1
permis_1.jpg,permis,32,32,0.40238621160030874,110.54407557764378,33.69929764702561,0.2623993619395737,15,10,7,10,9,13,0.46875,0.3125,0.21875,0.3125,0.28125,0.40625,0,1
permis_2.jpg,permis,24,24,0.3084470177728477,78.875,19.0,0.18953541904361576,8,11,5,6,10,8,0.3333333333333333,0.4583333333333333,0.20833333333333334,0.25,0.4166666666666667,0.3333333333333333,1,1
passport.jpeg,passport,21,21,0.4310635752530545,100.03756449438094,13.908881074110216,0.1854457218625396,7,10,4,4,9,8,0.3333333333333333,0.47619047619047616,0.19047619047619047,0.19047619047619047,0.42857142857142855,0.38095238095238093,1,1
passport_1.jpeg,passport,17,17,0.4886943209322829,117.76470588235294,16.823529411764707,0.17000272331154684,5,7,5,3,8,6,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.47058823529411764,0.35294117647058826,1,1
passport_2.jpg,passport,53,53,0.42253868826783547,177.24431617607462,28.868358132070465,0.10793896434863708,4,18,31,30,15,8,0.07547169811320754,0.33962264150943394,0.5849056603773585,0.5660377358490566,0.2830188679245283,0.1509433962264151,1,1
rc.webp,rc,75,75,0.618020500668861,121.26370137207931,16.259104514087912,0.1951373446856295,20,26,29,35,24,16,0.26666666666666666,0.3466666666666667,0.38666666666666666,0.4666666666666667,0.32,0.21333333333333335,0,1
rc_1.webp,rc,74,74,0.6791979274124064,117.6853393307555,19.266835414591775,0.20889479315363088,16,29,29,23,36,15,0.21621621621621623,0.3918918918918919,0.3918918918918919,0.3108108108108108,0.4864864864864865,0.20270270270270271,0,0
rc_2.webp,rc,76,76,0.6180156881139602,116.66066901845012,15.79872187607712,0.1874477255910815,19,27,30,30,26,20,0.25,0.35526315789473684,0.39473684210526316,0.39473684210526316,0.34210526315789475,0.2631578947368421,0,1
